,word,second_category,first_category,B2B_ind,cut_phrase1,rlist1,f_result,hit_words,cross_set,plist,source,cut_phrase,rlist,result,second_hit_words,second_cross_set,second_plist,source_2,result_ind,baike_words_list,baike_json_list,baike_first_result,baike_second_result,f_success_ind,success_ind,amb_success_ind
39,贴片,五金配件,工业制造,B2B,['贴片'],"['工业制造', ['贴片'], 0, 0, 0, '唯一dict']",工业制造,['贴片'],0,0,唯一dict,['贴片'],"['仪器仪表', ['贴片'], 0, 0, '唯一dict']",仪器仪表,['贴片'],0,0,唯一dict,B2B,,,,,1,0,1
40,隔墙板,建材服务,能源材料,B2B,['隔墙板'],"['能源材料', ['隔墙板'], 0, 0, 0, '唯一dict']",能源材料,['隔墙板'],0,0,唯一dict,['隔墙板'],"['建材服务', ['隔墙板'], 0, 0, '唯一dict']",建材服务,['隔墙板'],0,0,唯一dict,B2B,,,,,1,1,1
41,发电机,工业设备,工业制造,B2B,['发电机'],"['工业制造', ['发电机'], 0, 0, 0, '唯一dict']",工业制造,['发电机'],0,0,唯一dict,['发电机'],"['仪器仪表', ['发电机'], 0, 0, '唯一dict']",仪器仪表,['发电机'],0,0,唯一dict,B2B,,,,,1,0,1
42,搅拌器,工业设备,工业制造,B2B,['搅拌器'],"['工业制造', ['搅拌器'], 0, 0, 0, '唯一dict']",工业制造,['搅拌器'],0,0,唯一dict,['搅拌器'],"['仪器仪表', ['搅拌器'], 0, 0, '唯一dict']",仪器仪表,['搅拌器'],0,0,唯一dict,B2B,,,,,1,0,1
43,地胶,建材服务,能源材料,B2B,['地胶'],"['能源材料', ['地胶'], 0, 0, 0, '唯一dict']",能源材料,['地胶'],0,0,唯一dict,['地胶'],"['建材服务', ['地胶'], 0, 0, '唯一dict']",建材服务,['地胶'],0,0,唯一dict,B2B,,,,,1,1,1
44,模型,建材服务,能源材料,B2B,['模型'],"['能源材料', ['模型'], 0, 0, 0, '唯一dict']",能源材料,['模型'],0,0,唯一dict,['模型'],"['建材服务', ['模型'], 0, 0, '唯一dict']",建材服务,['模型'],0,0,唯一dict,B2B,,,,,1,1,1
45,铝合金门窗,建材服务,能源材料,B2B,"['铝合金门', '窗']","['能源材料', ['铝合金门'], 0, 0, 0, '唯一dict']",能源材料,['铝合金门'],0,0,唯一dict,['铝合金门窗'],"['冶金矿产', ['铝合金门窗'], 0, 0, '唯一dict']",冶金矿产,['铝合金门窗'],0,0,唯一dict,B2B,,,,,1,0,1
46,彩钢,冶金矿产,工业制造,B2B,['彩钢'],"['能源材料', ['彩钢'], 0, 0, 0, '唯一dict']",能源材料,['彩钢'],0,0,唯一dict,['彩钢'],"['建材服务', ['彩钢'], 0, 0, '唯一dict']",建材服务,['彩钢'],0,0,唯一dict,B2B,,,,,0,0,1
47,路灯,建材服务,能源材料,B2B,['路灯'],"['工业制造', ['路灯'], ['能源材料', '工业制造'], [3.752631578947368e-05, 0.00010305263157894737], '交叉概率']",工业制造,['路灯'],"['能源材料', '工业制造']","[3.752631578947368e-05, 0.00010305263157894737]",交叉概率,['路灯'],"['化工能源', ['路灯'], 0, 0, '唯一dict']",化工能源,['路灯'],0,0,唯一dict,B2B,,,,,0,0,1
48,防腐木,建材服务,能源材料,B2B,['防腐木'],"['能源材料', ['防腐木'], 0, 0, 0, '唯一dict']",能源材料,['防腐木'],0,0,唯一dict,['防腐木'],"['建材服务', ['防腐木'], 0, 0, '唯一dict']",建材服务,['防腐木'],0,0,唯一dict,B2B,,,,,1,1,1
49,冲剪机,工业设备,工业制造,B2B,"['冲', '剪机']","['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,"['冲', '剪机']","['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': ''}, {'description': '冲：chōng ㄔㄨㄥˉ，chòng ㄔㄨㄥˋ。《说文解字》：“冲，涌摇也。从水、中。”。丨下上通于口（种子生根发芽）是中之范式。水、中两范式叠加，犹注水如下种使水流急涌摇是冲之范式。冲：chōng ㄔㄨㄥˉ。本义：用水或酒浇注，水撞击。如：冲茶、冲剂、冲洗、冲荡。衍义：引申指“向上钻，直上”。如：冲腾。冲入云霄。衍义：引申指“通行的大路，重要的地方”。如：要冲。首当其冲。衍义：引申指“不顾一切，一直向前”。如：冲锋。横冲直撞。...', '中文名': '冲', '拼音': 'chōng', '注音': 'ㄔㄨㄥˉ', '部首': '冫', '繁体字': '沖、衝', '部外笔画': '4', '总笔画': '6', '五笔': 'UKHH', '四角码': '35106', '统一码': '51B2', '仓颉': 'iml', '笔顺编号': '412512', '郑码': 'tdj'}, {'description': ''}]",能源材料,建材服务,0,0,1
50,真空泵,工业设备,工业制造,B2B,['真空泵'],"['工业制造', ['真空泵'], 0, 0, 0, '唯一dict']",工业制造,['真空泵'],0,0,唯一dict,['真空泵'],"['五金配件', ['真空泵'], ['五金配件', '仪器仪表'], [0.0005116315789473684, 0.00043499999999999995], '交叉dict']",五金配件,['真空泵'],"['五金配件', '仪器仪表']","[0.0005116315789473684, 0.00043499999999999995]",交叉dict,B2B,,,,,1,0,1
51,点焊机,工业设备,工业制造,B2B,['点焊机'],"['工业制造', ['点焊机'], 0, 0, 0, '唯一dict']",工业制造,['点焊机'],0,0,唯一dict,['点焊机'],"['仪器仪表', ['点焊机'], 0, 0, '唯一dict']",仪器仪表,['点焊机'],0,0,唯一dict,B2B,,,,,1,0,1
52,防火门,建材服务,能源材料,B2B,['防火门'],"['能源材料', ['防火门'], 0, 0, 0, '唯一dict']",能源材料,['防火门'],0,0,唯一dict,['防火门'],"['建材服务', ['防火门'], 0, 0, '唯一dict']",建材服务,['防火门'],0,0,唯一dict,B2B,,,,,1,1,1
53,楼承板,建材服务,能源材料,B2B,['楼承板'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['楼承板'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,"[['压型钢板'], ['压型钢板']]","[{'description': '支承楼面混凝土的压制成型的钢板被称为压型钢板，又叫楼承板、钢承板。...', '中文名': '楼承板', '外文名': 'floordeck', '又称': '压型钢板'}, {'description': '支承楼面混凝土的压制成型的钢板被称为压型钢板，又叫楼承板、钢承板。...', '中文名': '楼承板', '外文名': 'floordeck', '又称': '压型钢板'}]",能源材料,建材服务,1,1,1
54,封罐机,工业设备,工业制造,B2B,['封罐机'],"['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,['封罐机'],"['', '', '', 0, '交叉dict']",仪器仪表,,,0,交叉dict,B2B,[],"[{'description': '封罐机,封印罐子盖子的机器.一般通俗归纳为：铁罐，纸罐，铝罐，压力罐等。由于盖子的不同也分为易拉罐、马口铁罐等。按形状分为圆罐，方形罐，易拉罐等。按照自动化程度的不同，封罐机亦分为半自动封罐机，全自动封罐机按使用特点可分为：罐转式封罐机，刀转式封罐机。...', '中文名': '封罐机', '外文名': 'cans sealing maching', '解释': '封罐子口的机械', '种类': '铁罐，纸罐，铝罐，压力罐,PET罐', '分类': '半自动，全自动'}, {'description': '封罐机,封印罐子盖子的机器.一般通俗归纳为：铁罐，纸罐，铝罐，压力罐等。由于盖子的不同也分为易拉罐、马口铁罐等。按形状分为圆罐，方形罐，易拉罐等。按照自动化程度的不同，封罐机亦分为半自动封罐机，全自动封罐机按使用特点可分为：罐转式封罐机，刀转式封罐机。...', '中文名': '封罐机', '外文名': 'cans sealing maching', '解释': '封罐子口的机械', '种类': '铁罐，纸罐，铝罐，压力罐,PET罐', '分类': '半自动，全自动'}]",工业制造,仪器仪表,1,0,1
55,快速门,建材服务,能源材料,B2B,['快速门'],"['能源材料', ['快速门'], 0, 0, 0, '唯一dict']",能源材料,['快速门'],0,0,唯一dict,['快速门'],"['建材服务', ['快速门'], 0, 0, '唯一dict']",建材服务,['快速门'],0,0,唯一dict,B2B,,,,,1,1,1
56,幕布,建材服务,能源材料,B2B,['幕布'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,['幕布'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,999,[],"[{'description': '幕布，剧场中一幕戏和另一幕戏之间落下的垂幕。语出《仪礼·既夕礼》：“明衣裳用幕布，袂属幅，长下膝。”...', '中文名': '幕布', '外文名': 'act drop', '拼音': 'mù bù', '注音': 'ㄇㄨˋ ㄅㄨˋ'}, {'description': '幕布，剧场中一幕戏和另一幕戏之间落下的垂幕。语出《仪礼·既夕礼》：“明衣裳用幕布，袂属幅，长下膝。”...', '中文名': '幕布', '外文名': 'act drop', '拼音': 'mù bù', '注音': 'ㄇㄨˋ ㄅㄨˋ'}]",其他服务,,0,0,0
57,叉车,工程车,车辆,本地服务,['叉车'],"['车辆', ['车'], 0, 0, '优先级匹配']",车辆,['车'],0,0,优先级匹配,['叉车'],"['工程车', '人工', 0, 0, '人工2级规则']",工程车,人工,0,0,人工2级规则,本地服务,,,,,1,1,1
58,混凝土输送泵,工业设备,工业制造,B2B,"['混凝土', '输送泵']","['能源材料', ['混凝土', '输送泵'], ['能源材料', '工业制造'], 0, '唯一筛选']",能源材料,"['混凝土', '输送泵']","['能源材料', '工业制造']",0,唯一筛选,"['混凝土', '输送泵']","['五金配件', ['混凝土', '输送泵'], 0, 0, '唯一dict']",五金配件,"['混凝土', '输送泵']",0,0,唯一dict,B2B,,,,,0,0,1
59,布袋,建材服务,能源材料,B2B,['布袋'],"['工业制造', ['布袋'], 0, 0, 0, '唯一dict']",工业制造,['布袋'],0,0,唯一dict,['布袋'],"['仪器仪表', ['布袋'], 0, 0, '唯一dict']",仪器仪表,['布袋'],0,0,唯一dict,B2B,,,,,0,0,1
60,旋转门,建材服务,能源材料,B2B,['旋转门'],"['能源材料', ['旋转门'], 0, 0, 0, '唯一dict']",能源材料,['旋转门'],0,0,唯一dict,['旋转门'],"['建材服务', ['旋转门'], 0, 0, '唯一dict']",建材服务,['旋转门'],0,0,唯一dict,B2B,,,,,1,1,1
61,通风管道,工业设备,工业制造,B2B,['通风管道'],"['能源材料', ['通风管道'], 0, 0, 0, '唯一dict']",能源材料,['通风管道'],0,0,唯一dict,['通风管道'],"['建材服务', ['通风管道'], 0, 0, '唯一dict']",建材服务,['通风管道'],0,0,唯一dict,B2B,,,,,0,0,1
62,铝单板,建材服务,能源材料,B2B,"['铝', '单板']","['能源材料', ['单板'], ['工业制造', '能源材料'], [2.8105263157894733e-05, 0.0007184210526315789], '交叉概率']",能源材料,['单板'],"['工业制造', '能源材料']","[2.8105263157894733e-05, 0.0007184210526315789]",交叉概率,['铝单板'],"['冶金矿产', ['铝单板'], 0, 0, '唯一dict']",冶金矿产,['铝单板'],0,0,唯一dict,B2B,,,,,1,0,1
63,纸箱机械,工业设备,工业制造,B2B,['纸箱机械'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['纸箱机械'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': '纸箱机械，背景是单面瓦楞机面临淘汰，特点是档次低，不能保证纸箱质量。...', '中文名': '纸箱机械', '外文名': 'Carton machinery', '背景': '单面瓦楞机面临淘汰', '特点': '档次低，不能保证纸箱质量', '时间': '20世纪90年代初'}, {'description': '纸箱机械，背景是单面瓦楞机面临淘汰，特点是档次低，不能保证纸箱质量。...', '中文名': '纸箱机械', '外文名': 'Carton machinery', '背景': '单面瓦楞机面临淘汰', '特点': '档次低，不能保证纸箱质量', '时间': '20世纪90年代初'}]",能源材料,建材服务,0,0,1
64,洗箱机,工业设备,工业制造,B2B,['洗箱机'],"['其他服务', '', 0, 0, '新词']",其他服务,,0,0,新词,['洗箱机'],"['', '', '', 0, '交叉dict']",,,,0,交叉dict,999,[],"[{'description': '工业中经常会对一些零部件进行清洗，由于零件的大小与形状各异，通常在清洗时都是装入周转箱中，再放入清洗设备中进行清洗。而清洗完的周转箱往往会留下清洗时的脏污，影响下一次的清洗，此时就是洗箱机发挥作用的时候。...', '中文名': '洗箱机', '外文名': 'waiinnvsd', '简述': '工业中经常会对零部件进行清洗', '工作原理': '超声波清洗及高压高温水清洗', '工作流程': '投放第一洗净第二洗净'}, {'description': '工业中经常会对一些零部件进行清洗，由于零件的大小与形状各异，通常在清洗时都是装入周转箱中，再放入清洗设备中进行清洗。而清洗完的周转箱往往会留下清洗时的脏污，影响下一次的清洗，此时就是洗箱机发挥作用的时候。...', '中文名': '洗箱机', '外文名': 'waiinnvsd', '简述': '工业中经常会对零部件进行清洗', '工作原理': '超声波清洗及高压高温水清洗', '工作流程': '投放第一洗净第二洗净'}]",其他服务,,0,0,0
65,超声波探伤仪,仪器仪表,工业制造,B2B,['超声波探伤仪'],"['工业制造', ['超声波探伤仪'], 0, 0, 0, '唯一dict']",工业制造,['超声波探伤仪'],0,0,唯一dict,['超声波探伤仪'],"['仪器仪表', ['超声波探伤仪'], 0, 0, '唯一dict']",仪器仪表,['超声波探伤仪'],0,0,唯一dict,B2B,,,,,1,1,1
66,压花地坪,建材服务,能源材料,B2B,['压花地坪'],"['能源材料', ['压花地坪'], 0, 0, 0, '唯一dict']",能源材料,['压花地坪'],0,0,唯一dict,['压花地坪'],"['建材服务', ['压花地坪'], 0, 0, '唯一dict']",建材服务,['压花地坪'],0,0,唯一dict,B2B,,,,,1,1,1
67,负压风机,工业设备,工业制造,B2B,"['负压', '风机']","['工业制造', ['负压'], 0, 0, 0, '唯一dict']",工业制造,['负压'],0,0,唯一dict,"['负压', '风机']","['仪器仪表', ['风机'], 0, 0, '唯一dict']",仪器仪表,['风机'],0,0,唯一dict,B2B,,,,,1,0,1
68,纸护角,建材服务,能源材料,B2B,['纸护角'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['纸护角'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,"[['边缘板'], ['边缘板']]","[{'description': '纸护角（paper angle bead）又称边缘板，是国际上最流行的包装产品之一，用来代替木料包装及其他笨重的包装方式。具有价格低、份量轻、坚固、符合环保要求等特点。又名纸包角或护角纸板、边缘板、角纸、纸角钢，由纱管纸和牛卡纸经成套护角机定型压制而成，两端面光滑平整、无明显的毛刺，且相互垂直，可以代替木材100%回收再利用，是理想的新型绿色包装材料之一。...', '中文名': '纸护角', '又称': '边缘板', '内容': '国际上最流行的包装产品之一'}, {'description': '纸护角（paper angle bead）又称边缘板，是国际上最流行的包装产品之一，用来代替木料包装及其他笨重的包装方式。具有价格低、份量轻、坚固、符合环保要求等特点。又名纸包角或护角纸板、边缘板、角纸、纸角钢，由纱管纸和牛卡纸经成套护角机定型压制而成，两端面光滑平整、无明显的毛刺，且相互垂直，可以代替木材100%回收再利用，是理想的新型绿色包装材料之一。...', '中文名': '纸护角', '又称': '边缘板', '内容': '国际上最流行的包装产品之一'}]",能源材料,建材服务,1,1,1
69,模具,五金配件,工业制造,B2B,['模具'],"['能源材料', ['模具'], 0, 0, 0, '唯一dict']",能源材料,['模具'],0,0,唯一dict,['模具'],"['建材服务', ['模具'], 0, 0, '唯一dict']",建材服务,['模具'],0,0,唯一dict,B2B,,,,,0,0,1
70,电缆,线缆照明,工业制造,B2B,['电缆'],"['工业制造', ['电缆'], ['工业制造', '能源材料'], [0.0008175789473684209, 2e-06], '交叉概率']",工业制造,['电缆'],"['工业制造', '能源材料']","[0.0008175789473684209, 2e-06]",交叉概率,['电缆'],"['仪器仪表', ['电缆'], 0, 0, '唯一dict']",仪器仪表,['电缆'],0,0,唯一dict,B2B,,,,,1,0,1
71,路沿石,建材服务,能源材料,B2B,['路沿石'],"['能源材料', ['路沿石'], 0, 0, 0, '唯一dict']",能源材料,['路沿石'],0,0,唯一dict,['路沿石'],"['建材服务', ['路沿石'], 0, 0, '唯一dict']",建材服务,['路沿石'],0,0,唯一dict,B2B,,,,,1,1,1
72,不锈钢,冶金矿产,工业制造,B2B,['不锈钢'],"['能源材料', ['不锈钢'], 0, 0, 0, '唯一dict']",能源材料,['不锈钢'],0,0,唯一dict,['不锈钢'],"['建材服务', ['不锈钢'], 0, 0, '唯一dict']",建材服务,['不锈钢'],0,0,唯一dict,B2B,,,,,0,0,1
73,计量泵,仪器仪表,工业制造,B2B,['计量泵'],"['工业制造', ['计量泵'], 0, 0, 0, '唯一dict']",工业制造,['计量泵'],0,0,唯一dict,['计量泵'],"['五金配件', ['计量泵'], ['仪器仪表', '五金配件'], [0.00010884210526315789, 0.00012568421052631577], '交叉dict']",五金配件,['计量泵'],"['仪器仪表', '五金配件']","[0.00010884210526315789, 0.00012568421052631577]",交叉dict,B2B,,,,,1,0,1
74,榨油机,工业设备,工业制造,B2B,['榨油机'],"['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,['榨油机'],"['', '', '', 0, '交叉dict']",冶金矿产,,,0,交叉dict,B2B,[],"[{'description': '榨油机就是指借助于机械外力的作用，通过提高温度，激活油分子，将油脂从油料中挤压出来的机器。榨油机可分为家用榨油机、水压机制油机、螺旋制油机、新型液压榨油机、高效精滤榨油机、全自动榨油机。...', '中文名': '榨油机', '外文名': 'The oil press', '适用范围': '花生，油菜，芝麻,核桃，菜籽等', '额定功率': '180W', '电压': '220V、380V', '加热功率': '120W', '额定频率': '50/60HZ'}, {'description': '榨油机就是指借助于机械外力的作用，通过提高温度，激活油分子，将油脂从油料中挤压出来的机器。榨油机可分为家用榨油机、水压机制油机、螺旋制油机、新型液压榨油机、高效精滤榨油机、全自动榨油机。...', '中文名': '榨油机', '外文名': 'The oil press', '适用范围': '花生，油菜，芝麻,核桃，菜籽等', '额定功率': '180W', '电压': '220V、380V', '加热功率': '120W', '额定频率': '50/60HZ'}]",工业制造,冶金矿产,1,0,1
75,饮水机,工业设备,工业制造,B2B,['饮水机'],"['能源材料', ['饮水机'], 0, 0, 0, '唯一dict']",能源材料,['饮水机'],0,0,唯一dict,['饮水机'],"['化工能源', ['饮水机'], 0, 0, '唯一dict']",化工能源,['饮水机'],0,0,唯一dict,B2B,,,,,0,0,1
76,冷库,工业设备,工业制造,B2B,['冷库'],"['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,['冷库'],"['', '', '', 0, '交叉dict']",仪器仪表,,,0,交叉dict,B2B,"[['冷藏冷冻物品'], ['冷藏冷冻物品']]","[{'description': '冷库（英文：Cold Store），是制冷设备的一种。冷库是指用人工手段，创造与室外温度或湿度不同的环境，也是对食品、液体、化工、医药、疫苗、科学试验等物品的恒温恒湿贮藏设备。冷库通常位于运输港口或原产地附近。冷库与冰箱相比较，制冷面积更大，且有共同的制冷原理。...', '中文名': '冷库', '外文名': 'Cold Store', '用途': '冷藏冷冻物品', '温度范围': '5°~-30°', '起源': '冰窖', '原理': '低温贮存保鲜'}, {'description': '冷库（英文：Cold Store），是制冷设备的一种。冷库是指用人工手段，创造与室外温度或湿度不同的环境，也是对食品、液体、化工、医药、疫苗、科学试验等物品的恒温恒湿贮藏设备。冷库通常位于运输港口或原产地附近。冷库与冰箱相比较，制冷面积更大，且有共同的制冷原理。...', '中文名': '冷库', '外文名': 'Cold Store', '用途': '冷藏冷冻物品', '温度范围': '5°~-30°', '起源': '冰窖', '原理': '低温贮存保鲜'}]",工业制造,仪器仪表,1,0,1
77,雕塑,建材服务,能源材料,B2B,['雕塑'],"['能源材料', ['雕塑'], 0, 0, 0, '唯一dict']",能源材料,['雕塑'],0,0,唯一dict,['雕塑'],"['建材服务', ['雕塑'], 0, 0, '唯一dict']",建材服务,['雕塑'],0,0,唯一dict,B2B,,,,,1,1,1
78,地坪,建材服务,能源材料,B2B,['地坪'],"['能源材料', ['地坪'], 0, 0, 0, '唯一dict']",能源材料,['地坪'],0,0,唯一dict,['地坪'],"['建材服务', ['地坪'], 0, 0, '唯一dict']",建材服务,['地坪'],0,0,唯一dict,B2B,,,,,1,1,1
79,开沟机,工业设备,工业制造,B2B,"['开沟', '机']","['其他服务', '', 0, 0, '新词']",工业制造,,0,0,新词,"['开沟', '机']","['', '', '', 0, '交叉dict']",五金配件,,,0,交叉dict,B2B,[],"[{'description': '开沟机是一种高效实用的新型开沟装置。柴油机经过皮带将转动传递到离合器后，驱动行走变速箱、传动轴、后桥等来实现链条式开沟机的向前或向后的直线运动。用于铺设农田管道、城乡光电缆等。...', '中文名': '开沟机', '外文名': 'ditcher', '属性': '高效实用的新型链条式开沟装置', '组成': '动力系统、减速系统、分土系统等', '分类': '链式开沟机、圆盘式开沟机', '使用范围': '用于铺设农田管道、城乡光电缆等'}, {'description': ''}, {'description': '机（拼音：jī）是汉语通用规范一级汉字（常用字），简体字始见于战国文字，繁体字始见于篆文，均为形声字。简化字本义是树木名，即桤树木，引申为几案，小桌子等义；繁体字本义为弩机，弩上的发动机关，引申为机巧，机灵等义。（基本信息栏参考资料）...', '中文名': '机', '拼音': 'jī', '部首': '木', '总笔画': '6', '字级': '一级字[1]', '结构': '左右结构', '注音': 'ㄐㄧ', '仓颉': 'DHN', '郑码': 'FQD', '平水韵': '五微 平声[5]', '四角': '47910', '笔顺': '横，竖，撇，捺，撇，横折弯钩', '五笔': 'SMN', '统一码': '基本区 U+673A'}]",工业制造,五金配件,1,0,1
80,涡流探伤仪,仪器仪表,工业制造,B2B,['涡流探伤仪'],"['工业制造', ['涡流探伤仪'], 0, 0, 0, '唯一dict']",工业制造,['涡流探伤仪'],0,0,唯一dict,['涡流探伤仪'],"['仪器仪表', ['涡流探伤仪'], 0, 0, '唯一dict']",仪器仪表,['涡流探伤仪'],0,0,唯一dict,B2B,,,,,1,1,1
81,取样器,五金配件,工业制造,B2B,['取样器'],"['工业制造', ['取样器'], 0, 0, 0, '唯一dict']",工业制造,['取样器'],0,0,唯一dict,['取样器'],"['仪器仪表', ['取样器'], 0, 0, '唯一dict']",仪器仪表,['取样器'],0,0,唯一dict,B2B,,,,,1,0,1
82,分子泵,仪器仪表,工业制造,B2B,['分子泵'],"['工业制造', ['分子泵'], 0, 0, 0, '唯一dict']",工业制造,['分子泵'],0,0,唯一dict,"['分子', '泵']","['建材服务', ['分子'], 0, 0, '唯一dict']",建材服务,['分子'],0,0,唯一dict,B2B,,,,,1,0,1
83,铝箔袋,建材服务,能源材料,B2B,['铝箔袋'],"['工业制造', ['铝箔袋'], 0, 0, 0, '唯一dict']",工业制造,['铝箔袋'],0,0,唯一dict,['铝箔袋'],"['冶金矿产', ['铝箔袋'], 0, 0, '唯一dict']",冶金矿产,['铝箔袋'],0,0,唯一dict,B2B,,,,,0,0,1
84,工业甲醛,建材服务,能源材料,B2B,"['工业', '甲醛']","['能源材料', ['工业', '甲醛'], ['能源材料', '能源材料'], 0, '唯一筛选']",能源材料,"['工业', '甲醛']","['能源材料', '能源材料']",0,唯一筛选,"['工业', '甲醛']","['建材服务', ['工业', '甲醛'], 0, 0, '唯一dict']",建材服务,"['工业', '甲醛']",0,0,唯一dict,B2B,,,,,1,1,1
85,门窗,建材服务,能源材料,B2B,['门窗'],"['能源材料', ['门窗'], ['能源材料', '工业制造'], [0.004055842105263158, 3.7315789473684205e-05], '交叉概率']",能源材料,['门窗'],"['能源材料', '工业制造']","[0.004055842105263158, 3.7315789473684205e-05]",交叉概率,['门窗'],"['冶金矿产', ['门窗'], 0, 0, '唯一dict']",冶金矿产,['门窗'],0,0,唯一dict,B2B,,,,,1,0,1
86,混凝土,建材服务,能源材料,B2B,['混凝土'],"['能源材料', ['混凝土'], 0, 0, 0, '唯一dict']",能源材料,['混凝土'],0,0,唯一dict,['混凝土'],"['建材服务', ['混凝土'], 0, 0, '唯一dict']",建材服务,['混凝土'],0,0,唯一dict,B2B,,,,,1,1,1
87,纸箱,建材服务,能源材料,B2B,['纸箱'],"['能源材料', ['纸箱'], 0, 0, 0, '唯一dict']",能源材料,['纸箱'],0,0,唯一dict,['纸箱'],"['建材服务', ['纸箱'], 0, 0, '唯一dict']",建材服务,['纸箱'],0,0,唯一dict,B2B,,,,,1,1,1
88,漏粪板,建材服务,能源材料,B2B,['漏粪板'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['漏粪板'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,[],"[{'description': '漏粪板是现代养殖业不可缺少的一项设备。漏粪板有很多种，像水泥漏粪板，塑料漏粪板，钢筋混凝土漏粪板，还有新型漏粪板。 ...', '中文名': '漏粪板', '材料': 'BMC复合材料漏粪板', '采用': '不饱和树脂、低收缩剂', '特点': '高强度、不伤奶头、不伤猪蹄'}, {'description': '漏粪板是现代养殖业不可缺少的一项设备。漏粪板有很多种，像水泥漏粪板，塑料漏粪板，钢筋混凝土漏粪板，还有新型漏粪板。 ...', '中文名': '漏粪板', '材料': 'BMC复合材料漏粪板', '采用': '不饱和树脂、低收缩剂', '特点': '高强度、不伤奶头、不伤猪蹄'}]",能源材料,建材服务,1,1,1
89,帆布袋,建材服务,能源材料,B2B,['帆布袋'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['帆布袋'],"['', '', '', 0, '交叉dict']",农林牧副渔,,,0,交叉dict,B2B,[],"[{'description': '帆布做的袋子。我国于2008年颁布‘限塑令’后，人们提倡环保，帆布袋逐渐走进日常生活，而设计师们又在其中加入了时尚元素，这让帆布袋渐渐火了起来。...', '中文名': '帆布袋', '外文名': 'canvas bag', '活动性质': '颁布‘限塑令’', '目的': '提倡环保，帆布袋', '时间': '2008年'}, {'description': '帆布做的袋子。我国于2008年颁布‘限塑令’后，人们提倡环保，帆布袋逐渐走进日常生活，而设计师们又在其中加入了时尚元素，这让帆布袋渐渐火了起来。...', '中文名': '帆布袋', '外文名': 'canvas bag', '活动性质': '颁布‘限塑令’', '目的': '提倡环保，帆布袋', '时间': '2008年'}]",能源材料,农林牧副渔,1,0,1
90,石英砂,建材服务,能源材料,B2B,['石英砂'],"['工业制造', ['石英砂'], ['能源材料', '工业制造'], [4.2105263157894733e-07, 2.2894736842105263e-05], '交叉概率']",工业制造,['石英砂'],"['能源材料', '工业制造']","[4.2105263157894733e-07, 2.2894736842105263e-05]",交叉概率,['石英砂'],"['仪器仪表', ['石英砂'], 0, 0, '唯一dict']",仪器仪表,['石英砂'],0,0,唯一dict,B2B,,,,,0,0,1
91,饰面板,建材服务,能源材料,B2B,['饰面板'],"['其他服务', '', 0, 0, '新词']",能源材料,,0,0,新词,['饰面板'],"['', '', '', 0, '交叉dict']",建材服务,,,0,交叉dict,B2B,"[['木饰面板'], ['木饰面板']]","[{'description': '装饰单板贴面胶合板，简称木饰面板，是将天然木材或科技木刨切成一定厚度的薄片，黏附于胶合板表面，然后热压而成的一种用于室内装修或家具表面的装饰材料。...', '中文名': '装饰单板贴面胶合板', '简称': '木饰面板', '厚度': '0.2 mm以上', '类别': '装饰板材'}, {'description': '装饰单板贴面胶合板，简称木饰面板，是将天然木材或科技木刨切成一定厚度的薄片，黏附于胶合板表面，然后热压而成的一种用于室内装修或家具表面的装饰材料。...', '中文名': '装饰单板贴面胶合板', '简称': '木饰面板', '厚度': '0.2 mm以上', '类别': '装饰板材'}]",能源材料,建材服务,1,1,1
92,测试仪,仪器仪表,工业制造,B2B,['测试仪'],"['工业制造', ['测试仪'], 0, 0, 0, '唯一dict']",工业制造,['测试仪'],0,0,唯一dict,['测试仪'],"['仪器仪表', ['测试仪'], 0, 0, '唯一dict']",仪器仪表,['测试仪'],0,0,唯一dict,B2B,,,,,1,1,1
93,废气处理,工业设备,工业制造,B2B,"['废气', '处理']","['能源材料', ['处理'], 0, 0, 0, '唯一dict']",能源材料,['处理'],0,0,唯一dict,['废气处理'],"['仪器仪表', ['废气处理'], 0, 0, '唯一dict']",仪器仪表,['废气处理'],0,0,唯一dict,B2B,,,,,0,0,1
